Revenue type,Date,Planned revenue volume,Actual revenue volume,Revenue completion rate,global_id,Quarter
ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА,2024-07-01,14.4,7.8,54.1,2696369674,2024Q3
Налог на имущество организаций,2024-07-01,187.4,100.7,53.7,2696369683,2024Q3
Доходы от оказания платных услуг (работ),2024-07-01,1.4,0.9,63.7,2696369676,2024Q3
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям",2024-07-01,1.6,0.0,0.0,2696369728,2024Q3
ГОСУДАРСТВЕННАЯ ПОШЛИНА,2024-07-01,4.8,2.6,53.7,2696369690,2024Q3
Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов,2024-07-01,0.01,0.01,83.6,2696369689,2024Q3
Налог на добычу полезных ископаемых,2024-07-01,0.0,-0.001,0.0,2696369688,2024Q3
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ",2024-07-01,0.01,0.01,66.7,2696369687,2024Q3
Земельный налог,2024-07-01,28.1,12.4,44.0,2696369686,2024Q3
Торговый сбор,2024-07-01,8.5,4.9,57.3,2696369675,2024Q3
Налог на игорный бизнес,2024-07-01,0.4,0.1,29.5,2696369685,2024Q3
Налог на имущество физических лиц,2024-07-01,32.2,2.3,7.2,2696369682,2024Q3
НАЛОГИ НА ИМУЩЕСТВО,2024-07-01,281.4,122.5,43.5,2696369681,2024Q3
ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ,2024-07-01,19.0,23.8,125.4,2696369680,2024Q3
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»",2024-07-01,0.3,0.3,96.3,2696369679,2024Q3
Доходы от компенсации затрат государства,2024-07-01,13.0,6.9,53.1,2696369678,2024Q3
Налог на профессиональный доход,2024-07-01,11.1,6.7,60.9,2696369677,2024Q3
Транспортный налог,2024-07-01,33.3,7.1,21.2,2696369684,2024Q3
ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ,2024-07-01,39.9,47.8,119.9,2696369658,2024Q3
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях",2024-07-01,25.1,13.8,54.9,2696369638,2024Q3
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности",2024-07-01,0.004,0.01,286.2,2696369656,2024Q3
Доходы от продажи квартир,2024-07-01,4.2,2.3,55.1,2696369623,2024Q3
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)",2024-07-01,8.1,7.9,98.4,2696369624,2024Q3
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)",2024-07-01,0.1,0.01,27.7,2696369625,2024Q3
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации",2024-07-01,0.4,0.3,63.0,2696369626,2024Q3
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности",2024-07-01,2.3,2.7,115.0,2696369627,2024Q3
"Доходы, всего",2024-07-01,4324.2,2365.6,54.7,2696369628,2024Q3
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий",2024-07-01,1.9,0.8,43.9,2696369629,2024Q3
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности",2024-07-01,4.4,10.9,246.3,2696369630,2024Q3
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ",2024-07-01,0.0,-0.001,0.0,2696369631,2024Q3
АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ,2024-07-01,0.2,0.3,120.7,2696369632,2024Q3
Налоги на имущество,2024-07-01,0.0,-0.0004,0.0,2696369633,2024Q3
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций",2024-07-01,0.2,0.3,120.7,2696369634,2024Q3
Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации),2024-07-01,0.0,1e-05,0.0,2696369635,2024Q3
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА",2024-07-01,46.5,28.5,61.3,2696369636,2024Q3
Прочие налоги и сборы (по отмененным местным налогам и сборам),2024-07-01,0.0,-1e-05,0.0,2696369637,2024Q3
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями",2024-07-01,2.4,1.4,60.5,2696369622,2024Q3
