"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.01.2026";"5.9";"11.5";"194.4";"2846351693"
"Доходы, всего";"01.01.2026";"5198.9";"5523";"106.2";"2846351694"
"Доходы от продажи квартир";"01.01.2026";"5.6";"5.1";"91.5";"2846351695"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.01.2026";"3.2";"8.8";"273.5";"2846351696"
"Налоговые доходы";"01.01.2026";"4661.3";"4744.8";"101.8";"2846351697"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2026";"9.1";"10.7";"117.3";"2846351698"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.01.2026";"0";"0.1";"276.7";"2846351699"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.01.2026";"3911.4";"3973.4";"101.6";"2846351700"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.01.2026";"5.6";"2.8";"50.9";"2846351701"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.01.2026";"0.6";"0.5";"73.1";"2846351702"
"Налог на прибыль организаций";"01.01.2026";"1581.5";"1571.3";"99.4";"2846351703"
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности";"01.01.2026";"";"5.9";"";"2846351704"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.01.2026";"2";"2.1";"103.7";"2846351705"
"Налог на доходы физических лиц";"01.01.2026";"2329.9";"2402.1";"103.1";"2846351706"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.01.2026";"16.1";"19.3";"120.1";"2846351707"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.01.2026";"";"0";"";"2846351708"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.01.2026";"0.2";"0.5";"210.7";"2846351709"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.01.2026";"73.6";"67.8";"92.1";"2846351710"
"Налоги на имущество";"01.01.2026";"";"0";"";"2846351711"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.01.2026";"73.6";"67.8";"92.1";"2846351712"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.01.2026";"0.2";"0.5";"210.7";"2846351713"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.01.2026";"";"0";"";"2846351714"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.01.2026";"362.7";"362.6";"100";"2846351715"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.01.2026";"";"0";"";"2846351716"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.01.2026";"60";"88";"146.7";"2846351717"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.01.2026";"321.4";"307.5";"95.7";"2846351718"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.01.2026";"";"0";"";"2846351719"
"Единый налог на вмененный доход для отдельных видов деятельности";"01.01.2026";"";"0";"";"2846351720"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.01.2026";"25.5";"35.4";"138.7";"2846351721"
"Неналоговые доходы";"01.01.2026";"460";"654.1";"142.2";"2846351722"
"Единый сельскохозяйственный налог";"01.01.2026";"0.1";"0.1";"107";"2846351723"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.01.2026";"290.2";"435.2";"150";"2846351724"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.01.2026";"0.1";"0.1";"148.3";"2846351725"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.01.2026";"11.4";"15.7";"138.3";"2846351726"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.01.2026";"2";"0.4";"18.5";"2846351727"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.01.2026";"14.1";"19.9";"141.2";"2846351728"
"Торговый сбор";"01.01.2026";"11.7";"17.5";"149.2";"2846351729"
"Доходы от размещения средств бюджетов";"01.01.2026";"141.5";"274.3";"193.9";"2846351730"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.01.2026";"4.1";"5";"120.7";"2846351731"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2026";"135";"145.5";"107.7";"2846351732"
"Налог на профессиональный доход";"01.01.2026";"17.4";"20.6";"118.6";"2846351733"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.01.2026";"0.1";"0.2";"135";"2846351734"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.01.2026";"0.7";"1.1";"147.4";"2846351735"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.01.2026";"0";"0.1";"803.6";"2846351736"
"Платежи, уплачиваемые в целях возмещения вреда";"01.01.2026";"0";"0.1";"295.1";"2846351737"
"Платежи от государственных и муниципальных унитарных предприятий";"01.01.2026";"0.1";"0.5";"464.5";"2846351738"
"НАЛОГИ НА ИМУЩЕСТВО";"01.01.2026";"307.7";"329.5";"107.1";"2846351739"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.01.2026";"16.1";"27.4";"170.7";"2846351740"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.01.2026";"0.1";"0.1";"190.9";"2846351741"
"Налог на имущество физических лиц";"01.01.2026";"36.2";"39.4";"108.9";"2846351742"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.01.2026";"57.7";"63.5";"110.1";"2846351743"
"Налог на имущество организаций";"01.01.2026";"207.6";"216.1";"104.1";"2846351744"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.01.2026";"11.5";"14.3";"124.2";"2846351745"
"Невыясненные поступления";"01.01.2026";"";"0.2";"";"2846351746"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.01.2026";"0.2";"0.2";"109.8";"2846351747"
"Транспортный налог";"01.01.2026";"34.3";"35.9";"104.7";"2846351748"
"Прочие неналоговые доходы";"01.01.2026";"57.7";"63.3";"109.8";"2846351749"
"Плата за негативное воздействие на окружающую среду";"01.01.2026";"0.2";"0.2";"105.8";"2846351750"
"Налог на игорный бизнес";"01.01.2026";"0.2";"0.8";"339.9";"2846351751"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.01.2026";"0";"0";"106.3";"2846351752"
"Платежи при пользовании недрами";"01.01.2026";"0";"0";"7365.7";"2846351754"
"Земельный налог";"01.01.2026";"29.3";"37.2";"126.6";"2846351755"
"Безвозмездные поступления";"01.01.2026";"77.6";"124.1";"159.8";"2846351756"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.01.2026";"15.4";"22.9";"149.4";"2846351757"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.01.2026";"0";"0.1";"476.8";"2846351758"
"Доходы от оказания платных услуг (работ)";"01.01.2026";"1.6";"1.7";"105.8";"2846351759"
"Налог на добычу полезных ископаемых";"01.01.2026";"";"0.1";"";"2846351760"
"Доходы от компенсации затрат государства";"01.01.2026";"13.8";"21.3";"154.4";"2846351761"
"Регулярные платежи за добычу полезных ископаемых (роялти) при выполнении соглашений о разделе продукции";"01.01.2026";"";"0";"";"2846351763"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.01.2026";"0";"0";"53.5";"2846351764"
"Доходы, всего";"01.04.2026";"5982.8";"1243.1";"20.8";"5068413302"
"Налог на прибыль организаций";"01.04.2026";"1840.9";"454.4";"24.7";"5068413303"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.04.2026";"4533.7";"931";"20.5";"5068413304"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.04.2026";"75.2";"16.6";"22.1";"5068413305"
"Налог на доходы физических лиц";"01.04.2026";"2692.9";"476.6";"17.7";"5068413306"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.04.2026";"75.2";"16.6";"22.1";"5068413307"
"Налоговые доходы";"01.04.2026";"5402.9";"1072.3";"19.8";"5068413308"
"Налог, взимаемый в связи с применением упрощенной системы налогообложения";"01.04.2026";"363.9";"38";"10.4";"5068413309"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.04.2026";"416.3";"51.8";"12.4";"5068413310"
"Единый сельскохозяйственный налог";"01.04.2026";"0.1";"0.05";"37.6";"5068413311"
"Налог, взимаемый в связи с применением патентной системы налогообложения";"01.04.2026";"5.7";"-0.2";"-3.4";"5068413312"
"Налог на профессиональный доход";"01.04.2026";"25";"5";"20.1";"5068413313"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.04.2026";"1.4";"4.1";"304.2";"5068413314"
"Торговый сбор";"01.04.2026";"20.2";"4.8";"24";"5068413315"
"НАЛОГИ НА ИМУЩЕСТВО";"01.04.2026";"365.2";"70.1";"19.2";"5068413316"
"Налог на имущество физических лиц";"01.04.2026";"40.9";"1.6";"3.8";"5068413317"
"Транспортный налог";"01.04.2026";"37.5";"3.3";"8.8";"5068413318"
"Земельный налог";"01.04.2026";"37.5";"8.2";"21.8";"5068413319"
"Налог на имущество организаций";"01.04.2026";"249.2";"57.1";"22.9";"5068413320"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.04.2026";"0.01";"0.002";"37.3";"5068413321"
"Налог на добычу полезных ископаемых";"01.04.2026";"";"2.0E-4";"";"5068413322"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.04.2026";"0.01";"0.002";"33.8";"5068413323"
"Государственная пошлина по делам, рассматриваемым в судах общей юрисдикции, мировыми судьями";"01.04.2026";"9.4";"2.1";"22";"5068413324"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.04.2026";"12.4";"2.7";"21.7";"5068413325"
"Государственная пошлина за государственную регистрацию актов гражданского состояния и другие юридически значимые действия, совершаемые органами записи актов гражданского состояния и иными уполномоченными органами (за исключением консульских учреждений Российской Федерации)";"01.04.2026";"0.1";"0.02";"21.7";"5068413326"
"Государственная пошлина за совершение действий, связанных с приобретением гражданства Российской Федерации или выходом из гражданства Российской Федерации, а также с въездом в Российскую Федерацию или выездом из Российской Федерации";"01.04.2026";"0.7";"0.1";"17.2";"5068413327"
"Государственная пошлина за государственную регистрацию, а также за совершение прочих юридически значимых действий";"01.04.2026";"2.2";"0.5";"21.7";"5068413328"
"Налоги на имущество";"01.04.2026";"";"-3.0E-5";"";"5068413329"
"ЗАДОЛЖЕННОСТЬ И ПЕРЕРАСЧЕТЫ ПО ОТМЕНЕННЫМ НАЛОГАМ, СБОРАМ И ИНЫМ ОБЯЗАТЕЛЬНЫМ ПЛАТЕЖАМ";"01.04.2026";"0.1";"0.1";"91.9";"5068413330"
"Прочие налоги и сборы (по отмененным федеральным налогам и сборам)";"01.04.2026";"";"0";"";"5068413331"
"Прочие налоги и сборы (по отмененным местным налогам и сборам)";"01.04.2026";"";"-4.0E-5";"";"5068413332"
"Прочие налоги и сборы (по отмененным налогам и сборам субъектов Российской Федерации)";"01.04.2026";"0.1";"0.1";"92";"5068413333"
"Налог, взимаемый в виде стоимости патента в связи с применением упрощенной системы налогообложения";"01.04.2026";"";"-1.0E-5";"";"5068413334"
"Неналоговые доходы";"01.04.2026";"534.4";"125.9";"23.6";"5068413335"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.04.2026";"309.2";"58.1";"18.8";"5068413336"
"Доходы от размещения средств бюджетов";"01.04.2026";"158.5";"24.6";"15.5";"5068413337"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.04.2026";"0.4";"0";"0";"5068413338"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.04.2026";"0.01";"-0.01";"-70.9";"5068413339"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2026";"135.7";"30.4";"22.4";"5068413340"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.04.2026";"0.1";"0.1";"169.1";"5068413341"
"Платежи от государственных и муниципальных унитарных предприятий";"01.04.2026";"0.2";"0.2";"145.2";"5068413342"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2026";"14.4";"2.8";"19.8";"5068413343"
"Платежи при пользовании недрами";"01.04.2026";"1.0E-4";"0.001";"2209.3";"5068413344"
"Плата за негативное воздействие на окружающую среду";"01.04.2026";"0.2";"0.1";"68.9";"5068413345"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.04.2026";"0.2";"0.1";"69.5";"5068413346"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.04.2026";"52.4";"14.9";"28.4";"5068413347"
"Доходы от оказания платных услуг (работ)";"01.04.2026";"1.7";"0.3";"16.8";"5068413348"
"Доходы от компенсации затрат государства";"01.04.2026";"50.8";"14.6";"28.8";"5068413349"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.04.2026";"36.8";"10.1";"27.5";"5068413350"
"Доходы от продажи квартир";"01.04.2026";"4.8";"1.8";"37.8";"5068413351"
"Доходы от реализации имущества, находящегося в государственной и муниципальной собственности (за исключением движимого имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2026";"10";"3";"30.5";"5068413352"
"Доходы от продажи земельных участков, находящихся в государственной и муниципальной собственности";"01.04.2026";"2.9";"1.1";"37.8";"5068413353"
"Доходы от приватизации имущества, находящегося в государственной и муниципальной собственности";"01.04.2026";"17.8";"2.7";"15.2";"5068413354"
"АДМИНИСТРАТИВНЫЕ ПЛАТЕЖИ И СБОРЫ";"01.04.2026";"0.3";"0.1";"39.1";"5068413355"
"Платежи, взимаемые государственными и муниципальными органами (организациями) за выполнение определенных функций";"01.04.2026";"0.3";"0.1";"39.1";"5068413356"
"Плата за увеличение площади земельных участков, находящихся в частной собственности, в результате перераспределения таких земельных участков и земель (или) земельных участков, находящихся в государственной или муниципальной собственности";"01.04.2026";"1.3";"1.5";"112.2";"5068413357"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.04.2026";"25.8";"4.1";"15.9";"5068413358"
"ШТРАФЫ, САНКЦИИ, ВОЗМЕЩЕНИЕ УЩЕРБА";"01.04.2026";"86.3";"22.4";"25.9";"5068413359"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях, за административные правонарушения в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, а также за административные правонарушения порядка ценообразования в части регулирования цен на этиловый спирт, алкогольную и спиртосодержащую продукцию";"01.04.2026";"0.1";"0.02";"24.8";"5068413360"
"Административные штрафы, установленные Кодексом Российской Федерации об административных правонарушениях";"01.04.2026";"30";"9.4";"31.2";"5068413361"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.04.2026";"4.2";"2.4";"57.5";"5068413362"
"Платежи, уплачиваемые в целях возмещения вреда";"01.04.2026";"0.1";"0.03";"46";"5068413363"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.04.2026";"0.1";"0.1";"130.1";"5068413364"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.04.2026";"26.2";"6.4";"24.3";"5068413365"
"Невыясненные поступления";"01.04.2026";"";"-0.2";"";"5068413366"
"Прочие неналоговые доходы";"01.04.2026";"49";"20.3";"41.3";"5068413367"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.04.2026";"49";"20.1";"41";"5068413368"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.04.2026";"0.002";"0.002";"96.6";"5068413369"
"Безвозмездные поступления";"01.04.2026";"45.6";"44.9";"98.5";"5068413370"
