"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Торговый сбор";"01.04.2024";"8.5";"2.4";"27.9";"2695056145"
"Платежи от государственных и муниципальных унитарных предприятий";"01.04.2024";"0.3";"0.1";"30";"2695056146"
"Налог на профессиональный доход";"01.04.2024";"11.1";"3.2";"29.4";"2695056147"
"Невыясненные поступления";"01.04.2024";"";"-0.01";"";"2695056148"
"Налог, взимаемый в связи с применением специального налогового режима «Автоматизированная упрощенная система налогообложения»";"01.04.2024";"0.3";"0.1";"44.2";"2695056150"
"Прочие неналоговые доходы";"01.04.2024";"39.9";"22.8";"57.2";"2695056151"
"Прочие доходы от использования имущества и прав, находящихся в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.04.2024";"8.2";"1.8";"22.5";"2695056152"
"НАЛОГИ НА ИМУЩЕСТВО";"01.04.2024";"281.4";"60";"21.3";"2695056153"
"Прочие неналоговые доходы в части невыясненных поступлений, по которым не осуществлен возврат (уточнение) не позднее трех лет со дня их зачисления на единый счет соответствующего бюджета бюджетной системы Российской Федерации";"01.04.2024";"0.001";"2.0E-5";"2.1";"2695056154"
"ПЛАТЕЖИ ПРИ ПОЛЬЗОВАНИИ ПРИРОДНЫМИ РЕСУРСАМИ";"01.04.2024";"0.2";"0.05";"28.1";"2695056155"
"Налог на имущество физических лиц";"01.04.2024";"32.2";"1.6";"4.9";"2695056156"
"Плата за негативное воздействие на окружающую среду";"01.04.2024";"0.2";"0.05";"29.4";"2695056157"
"Безвозмездные поступления";"01.04.2024";"32.5";"35.6";"109.5";"2695056158"
"Налог на имущество организаций";"01.04.2024";"187.4";"48.6";"25.9";"2695056159"
"Платежи при пользовании недрами";"01.04.2024";"0.01";"4.0E-5";"0.6";"2695056160"
"Транспортный налог";"01.04.2024";"33.3";"4.1";"12.2";"2695056161"
"ДОХОДЫ ОТ ОКАЗАНИЯ ПЛАТНЫХ УСЛУГ И КОМПЕНСАЦИИ ЗАТРАТ ГОСУДАРСТВА";"01.04.2024";"14.4";"4.9";"33.8";"2695056162"
"Налог на игорный бизнес";"01.04.2024";"0.4";"0.1";"14.8";"2695056163"
"Доходы от оказания платных услуг (работ)";"01.04.2024";"1.4";"0.4";"26";"2695056164"
"Земельный налог";"01.04.2024";"28.1";"5.8";"20.6";"2695056165"
"Доходы от компенсации затрат государства";"01.04.2024";"13";"4.5";"34.6";"2695056166"
"НАЛОГИ, СБОРЫ И РЕГУЛЯРНЫЕ ПЛАТЕЖИ ЗА ПОЛЬЗОВАНИЕ ПРИРОДНЫМИ РЕСУРСАМИ";"01.04.2024";"0.01";"0.002";"28";"2695056167"
"ДОХОДЫ ОТ ПРОДАЖИ МАТЕРИАЛЬНЫХ И НЕМАТЕРИАЛЬНЫХ АКТИВОВ";"01.04.2024";"19";"13.2";"69.7";"2695056168"
"Налог на добычу полезных ископаемых";"01.04.2024";"";"-0.002";"";"2695056169"
"Сборы за пользование объектами животного мира и за пользование объектами водных биологических ресурсов";"01.04.2024";"0.01";"0.004";"48.2";"2695056170"
"ГОСУДАРСТВЕННАЯ ПОШЛИНА";"01.04.2024";"4.8";"1.2";"25.6";"2695056171"
"Доходы в виде прибыли, приходящейся на доли в уставных (складочных) капиталах хозяйственных товариществ и обществ, или дивидендов по акциям, принадлежащим Российской Федерации, субъектам Российской Федерации или муниципальным образованиям";"01.04.2024";"1.6";"0";"0";"2695057049"
